Voltage , BPM , Temp
gsrVoltage=3.05 ,  Avg BPM=62 , Temp=32.13
gsrVoltage=3.06 ,  Avg BPM=64 , Temp=32.19
gsrVoltage=3.06 ,  Avg BPM=67 , Temp=32.19
gsrVoltage=3.03 ,  Avg BPM=69 , Temp=32.19
gsrVoltage=3.06 ,  Avg BPM=65 , Temp=32.38
gsrVoltage=3.06 ,  Avg BPM=62 , Temp=32.25
gsrVoltage=3.06 ,  Avg BPM=64 , Temp=32.19
gsrVoltage=3.05 ,  Avg BPM=66 , Temp=32.44
gsrVoltage=3.02 ,  Avg BPM=67 , Temp=32.38
gsrVoltage=3.02 ,  Avg BPM=69 , Temp=32.38
gsrVoltage=3.02 ,  Avg BPM=70 , Temp=32.44
gsrVoltage=3.02 ,  Avg BPM=74 , Temp=32.38
gsrVoltage=3.03 ,  Avg BPM=77 , Temp=32.31
gsrVoltage=3.04 ,  Avg BPM=79 , Temp=32.44
gsrVoltage=3.02 ,  Avg BPM=81 , Temp=32.44
gsrVoltage=3.03 ,  Avg BPM=80 , Temp=32.50
gsrVoltage=3.04 ,  Avg BPM=79 , Temp=32.50
gsrVoltage=3.05 ,  Avg BPM=77 , Temp=32.56
gsrVoltage=3.03 ,  Avg BPM=76 , Temp=32.50
gsrVoltage=3.02 ,  Avg BPM=75 , Temp=32.50
gsrVoltage=3.03 ,  Avg BPM=74 , Temp=32.56
gsrVoltage=2.94 ,  Avg BPM=72 , Temp=32.63
gsrVoltage=2.97 ,  Avg BPM=70 , Temp=32.75
gsrVoltage=2.99 ,  Avg BPM=69 , Temp=32.75
gsrVoltage=2.95 ,  Avg BPM=65 , Temp=32.94
gsrVoltage=2.94 ,  Avg BPM=64 , Temp=32.75
gsrVoltage=2.90 ,  Avg BPM=66 , Temp=32.88
gsrVoltage=2.88 ,  Avg BPM=65 , Temp=32.88
gsrVoltage=2.89 ,  Avg BPM=63 , Temp=32.81
gsrVoltage=2.89 ,  Avg BPM=65 , Temp=32.75
gsrVoltage=2.90 ,  Avg BPM=66 , Temp=32.94
gsrVoltage=2.89 ,  Avg BPM=66 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=70 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=70 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=66 , Temp=32.75
gsrVoltage=2.88 ,  Avg BPM=66 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=66 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=66 , Temp=32.75
gsrVoltage=2.88 ,  Avg BPM=68 , Temp=32.69
gsrVoltage=2.86 ,  Avg BPM=69 , Temp=32.75
gsrVoltage=2.85 ,  Avg BPM=70 , Temp=32.81
gsrVoltage=2.85 ,  Avg BPM=71 , Temp=32.75
gsrVoltage=2.84 ,  Avg BPM=72 , Temp=32.81
gsrVoltage=2.85 ,  Avg BPM=74 , Temp=32.69
gsrVoltage=2.86 ,  Avg BPM=74 , Temp=32.63
gsrVoltage=2.87 ,  Avg BPM=72 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=72 , Temp=32.75
gsrVoltage=2.86 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.87 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.86 ,  Avg BPM=73 , Temp=32.63
gsrVoltage=2.87 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.88 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.88 ,  Avg BPM=74 , Temp=32.63
gsrVoltage=2.89 ,  Avg BPM=74 , Temp=32.56
gsrVoltage=2.89 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.89 ,  Avg BPM=72 , Temp=32.75
gsrVoltage=2.89 ,  Avg BPM=71 , Temp=32.56
gsrVoltage=2.90 ,  Avg BPM=70 , Temp=32.63
gsrVoltage=2.90 ,  Avg BPM=69 , Temp=32.69
gsrVoltage=2.91 ,  Avg BPM=67 , Temp=32.56
gsrVoltage=2.91 ,  Avg BPM=67 , Temp=32.75
gsrVoltage=2.91 ,  Avg BPM=68 , Temp=32.56
gsrVoltage=2.91 ,  Avg BPM=69 , Temp=32.56
gsrVoltage=2.92 ,  Avg BPM=70 , Temp=32.75
gsrVoltage=2.92 ,  Avg BPM=70 , Temp=32.75
gsrVoltage=2.92 ,  Avg BPM=70 , Temp=32.63
gsrVoltage=2.90 ,  Avg BPM=72 , Temp=32.56
gsrVoltage=2.89 ,  Avg BPM=73 , Temp=32.63
gsrVoltage=2.89 ,  Avg BPM=74 , Temp=32.69
gsrVoltage=2.91 ,  Avg BPM=74 , Temp=32.75
gsrVoltage=2.92 ,  Avg BPM=73 , Temp=32.50
gsrVoltage=2.92 ,  Avg BPM=71 , Temp=32.63
gsrVoltage=2.91 ,  Avg BPM=70 , Temp=32.63
gsrVoltage=2.93 ,  Avg BPM=71 , Temp=32.63
gsrVoltage=2.91 ,  Avg BPM=72 , Temp=32.69
gsrVoltage=2.91 ,  Avg BPM=73 , Temp=32.56
gsrVoltage=2.92 ,  Avg BPM=74 , Temp=32.69
gsrVoltage=2.93 ,  Avg BPM=74 , Temp=32.50
gsrVoltage=2.94 ,  Avg BPM=73 , Temp=32.69
gsrVoltage=2.94 ,  Avg BPM=73 , Temp=32.75
gsrVoltage=2.94 ,  Avg BPM=71 , Temp=32.56
gsrVoltage=2.92 ,  Avg BPM=69 , Temp=32.63