3.09 , 66 , 32.81
3.09 , 64 , 32.94
3.10 , 62 , 32.75
3.10 , 63 , 32.81
3.10 , 63 , 32.75
3.10 , 66 , 32.88
3.12 , 72 , 32.88
3.12 , 76 , 32.81
3.11 , 81 , 32.81
3.09 , 84 , 32.94
3.08 , 85 , 32.69
3.07 , 85 , 32.75
3.07 , 82 , 32.63
3.07 , 80 , 32.69
3.08 , 79 , 32.56
3.09 , 77 , 32.63
3.10 , 75 , 32.56
3.10 , 73 , 32.69
3.10 , 71 , 32.63
3.09 , 69 , 32.56
3.06 , 68 , 32.50
3.06 , 69 , 32.56
3.06 , 70 , 32.63
3.08 , 71 , 32.56
3.07 , 71 , 32.31
3.08 , 71 , 32.56
3.06 , 69 , 32.38
3.05 , 65 , 32.38
3.06 , 66 , 32.44
3.07 , 68 , 32.44
3.07 , 69 , 32.38
3.07 , 71 , 32.56
3.06 , 72 , 32.31
3.04 , 76 , 32.38
3.06 , 77 , 32.31
